id,year,title,publicationname,citedbycount,asia,oceania,europe,north_america,south_america,africa,keywords_list,cluster,keyword_category
0,2021,Does proactive logistics management enhance business management? Czy proaktywne zarządzanie logistyką wzmacnia zarządzanie biznesem?,Polish Journal of Management Studies,0,5,0,0,0,0,0,"['Business management', 'Firm size', 'Logistics awareness', 'Logistics management', 'Logistics strategies']",1,Medical and Technological Advances
1,2021,"Will There Ever Be Cure for Chronic, Life-Changing Colistin-Resistant Klebsiella pneumoniae in Urinary Tract Infection?",Frontiers in Medicine,3,8,1,2,0,0,0,"['biofilm infections', 'chronic infection', 'chronic urinary infection', 'colistin-resistant', 'colistin-resistant Klebsiella pneumoniae', 'Klebsiella pneumoniae', 'urinary tract infection']",1,Medical and Technological Advances
2,2021,"Bacterial diversity and potential risk factors associated with Salmonella contamination of seafood products sold in retail markets in Bangkok, Thailand",PeerJ,6,1,0,0,1,0,0,"['Escherichia coli', 'Risk factors', 'Salmonella enterica', 'Seafood', 'Vibrio']",1,Medical and Technological Advances
3,2021,Global Perspectives on Immunization Against SARS-CoV-2 During Pregnancy and Priorities for Future Research: An International Consensus Paper From the World Association of Infectious Diseases and Immunological Disorders,Frontiers in Immunology,9,1,6,8,3,2,2,"['COVID-19', 'maternal immunization', 'maternal vaccination program', 'pregnant women', 'SARS-CoV-2']",1,Medical and Technological Advances
4,2021,Deep Learning Enables Prostate MRI Segmentation: A Large Cohort Evaluation With Inter-Rater Variability Analysis,Frontiers in Oncology,4,2,0,1,4,0,0,"['deep attentive neural network', 'large cohort evaluation', 'prostate segmentation', 'qualitative evaluation', 'quantitative evaluation', 'volume measurement']",1,Medical and Technological Advances
5,2021,The Expansion of Lignocellulose Biomass Conversion Into Bioenergy via Nanobiotechnology,Frontiers in Nanotechnology,10,7,0,0,0,0,0,"['bioconversion', 'bioenergy', 'lignocellulose', 'nanotechnology', 'pretreatment']",2,Cell Biology and Biochemistry
6,2021,Occupational exposure to hazards and volatile organic compounds in small-scale plastic recycling plants in Thailand by integrating risk and life cycle assessment concepts,Journal of Cleaner Production,5,5,0,0,0,0,0,"['Health risk assessment', 'Life cycle assessment', 'Occupational exposure', 'Plastic waste recycling', 'Thailand']",1,Medical and Technological Advances
7,2021,"Organic carbon stock and composition in 3.5-m core mangrove soils (Trat, Thailand)",Science of the Total Environment,8,6,0,0,0,0,0,"['Blue carbon', 'Carbon pool', 'Coastal vegetated ecosystem', 'DOM', 'Fluorescence', 'SOM']",1,Medical and Technological Advances
8,2021,Shared metabolic and neuroimmune mechanisms underlying Type 2 Diabetes Mellitus and Major Depressive Disorder,Progress in Neuro-Psychopharmacology and Biological Psychiatry,17,1,1,1,0,8,0,"['Major Depressive Disorder', 'Pathogenesis', 'Therapies', 'Type 2 Diabetes Mellitus']",1,Medical and Technological Advances
9,2021,Translational evidence for the Inflammatory Response System (IRS)/Compensatory Immune Response System (CIRS) and neuroprogression theory of major depression,Progress in Neuro-Psychopharmacology and Biological Psychiatry,19,2,2,1,0,0,0,"['Depression', 'Immune regulatory', 'Immune system', 'Inflammation', 'Major depressive disorder', 'Mood disorders', 'Neuroprogression', 'Neuroscience', 'Psychiatry']",1,Medical and Technological Advances
