Title,Source title,Cited by,Authors Country,Author Keywords,Year
E-democracy and Socio-economic Development,"28th Americas Conference on Information Systems, AMCIS 2022",2.0,"Poland, United States","E-consultation, e-democracy, e-government, e-information, e-lobbying, e-parliament, e-participation, e-petition, e-referendum, e-service, e-society, e-voting, ICT4D, socioeconomic development",2022
Exploring the Landscape of e-Government Maturity Models: Insights from Systematic Mapping Study and Comparative Analysis,Digital Government: Research and Practice,0.0,,"digital government, digital government maturity, e-Government Assessment, e-Government Maturity Model, Electronic government, systematic mapping",2024
A six-level model of SMS-based e-government,"Proceedings of 4th International Conference on e-Government, ICEG 2008",10.0,Australia,"E-government, Mobile e-government, Model, Six-level, SMS",2008
Ole e 2 and Ole e 10: New clinical aspects and genetic restrictions in olive pollen allergy,Allergy: European Journal of Allergy and Clinical Immunology,35.0,Spain,"Asthma, HLA class II, Ole e 10, Ole e 2, Olive pollen allergens",2005
"Annellation of triazole and tetrazole systems onto pyrrolo[2,3-d] pyrimidines: Synthesis of tetrazolo[1,5-c]-pyrrolo[3,2-e]-pyrimidines and triazolo[1,5-c]pyrrolo-[3,2-e]pyrimidines as potential antibacterial agents",Molecules,43.0,India,"Antibacterial activity, Pyrrolo[2,3-d]- pyrimidines, Tetrazolopyrrolopyrimidines, Triazolopyrrolopyrimidines",2002
A proposed model for assessing E-government service quality: An E-S-QUAL approach,"2012 International Conference on Computer and Information Science, ICCIS 2012 - A Conference of World Engineering, Science and Technology Congress, ESTCON 2012 - Conference Proceedings",4.0,Malaysia,"E-government service quality, E-S-QUAL scale, Website quality",2012
Web content analysis on power distance cultural presence in E-Government portal design,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),3.0,Malaysia,"Citizen centric e-government, Cultural design, E-government portal design, Hofstede’s cultural model, Power Distance cultural dimension, Waseda e-Government development ranking",2017
An Adaptive E-Learning Systems Success Model,International Journal of Emerging Technologies in Learning,3.0,,"e-learning, e-learning methods, e-learning models, e-learning system, pedagogical approaches",2023
"Synthesis of novel pyrido[3,2-e][1,2,4]triazolo[1,5-c]pyrimidine derivatives: Potent and selective adenosine A3 receptor antagonists",Archiv der Pharmazie,11.0,"Germany, India","2-Aminonicotinonitrile, Adenosine receptors, Aroyl hydrazide, Orthoacetate, Orthoformate",2013
"Alkoxy substituted (E,E)-3,6-bis(styryl)pyridazine-a photosensitive mesogen for liquid crystals",Tetrahedron,16.0,Germany,"Condensation reaction, Liquid crystals, Photoisomerization, Self-organization",2008
"Facile synthesis of 4H-naphtho[2,3-e] derivatives of 1,3-thiazines and 1,3-selenazines and naphtho[2′,3′:4,5] derivatives of selenolo[2,3-b]pyridines and thieno[2,3-b]pyridines via 2,3-didehydronaphthalene",Arkivoc,9.0,United States,"1,3-thiazines, Benzyne cycloaddition nucleophilic addition, Selenolo[2,3-b]pyridines, Thieno[2,3-b]pyridines",2004
"New Markers for Ventricular Repolarization in Coronary Slow Flow: Tp-e Interval, Tp-e/QT Ratio, and Tp-e/QTc Ratio",Annals of Noninvasive Electrocardiology,34.0,,"coronary slow flow, Tp-e interval, Tp-e/QT ratio, Tp-e/QTc ratio, ventricular repolarization",2015
The strategy and the progress made on E-government services in the EU,Communications in Computer and Information Science,2.0,Greece,"e-Democracy, E-Government, e-Government indicators, e-services, Public administration",2014
"Synthesis and antimicrobial evaluation of dibenzo[b,e]oxepin-11(6H)-one O-benzoyloxime derivatives",Scientia Pharmaceutica,12.0,"United Arab Emirates, Germany, Romania","Antimicrobial activity antifungal activity, Dibenzo[b,e]oxepine, Dibenzo[b,e]thiepine, E/Z isomerism of oximes (cis/trans), O-Acyloximes",2011
"Design, synthesis, crystal structure and fungicidal activity of (E)-5-(methoxyimino)-3,5-dihydrobenzo [e] [1,2]oxazepin-4(1 H)-one analogues",MedChemComm,8.0,China,,2017
Assessing the e-Government capabilities for obstacle identification within Pakistan,"International Conference on Information Society, i-Society 2011",3.0,"United Kingdom, Pakistan","E-Government, E-Polices, IT obstacles",2011
The effect of online deception on behavioral intention towards e-tailers: the mediating role of e-shopping value and e-trust,Journal of Decision Systems,1.0,"Saudi Arabia, Tunisia","E-security, E-shopping value, E-tailing, E-trust, Online deception",2024
"A facile synthesis of furo[3,4-e]pyrazolo[3,4-b]pyridine-5(7H)-one derivatives via three-component reaction in ionic liquid without any catalyst",Journal of Heterocyclic Chemistry,35.0,China,,2009
"Tp-e interval, Tp-e/QT and Tp-e/QTc ratio in hypertensive patients with primary aldosteronism",Clinical and Experimental Hypertension,4.0,,"and ventricular repolarization, cardiac arrhythmia, Primary aldosteronism, Tp-e interval, Tp-e/QT, Tp-e/QTc ratio",2020
"On Geodesic E-Convex Sets, Geodesic E-Convex Functions and E-Epigraphs",Journal of Optimization Theory and Applications,32.0,"India, Saudi Arabia","E-epigraphs, Geodesic E-convex functions, Geodesic E-convex sets, Geodesic E-quasiconvex function, Riemannian manifolds",2012
Evaluating the Impact of e-Government Initiatives on Citizens: Empowerment or Tokenism?,"2022 IST-Africa Conference, IST-Africa 2022",1.0,Kenya,"Arnstein's Ladder, Citizen Empowerment, E-government evaluation, E-government Platforms, E-participation, Public Sector Automation",2022
Which E-Leadership Skills Are Needed to Deploy Digital Strategies? A Study on Multinational Companies in Northern Malaysia,Contributions to Management Science,3.0,"United Kingdom, Malaysia","Digital strategies, E-change management, E-communication, E-leadership skills, E-social skills, E-team building skills, E-technological skills, E-trustworthiness, Malaysia, Multinational companies",2023
