Title,Source title,Cited by,Authors Country,Author Keywords,Year
"Design, synthesis, and biological investigation of selective human carbonic anhydrase II, IX, and XII inhibitors using 7-aryl/heteroaryl triazolopyrimidines bearing a sulfanilamide scaffold",Journal of Enzyme Inhibition and Medicinal Chemistry,4,Italy,"antiproliferative activity, Carbonic anhydrase inhibitors, structure–activity relationship, sulphanilamide, [1,2,4]triazolo[15-a]pyrimidine",2023
"Structure-Activity Relationships of Pyrazolo[1,5- a]pyrimidin-7(4 H)-ones as Antitubercular Agents",ACS Infectious Diseases,11,"United Kingdom, United States, South Africa","antitubercular activity, pyrazolo[1,5- a]pyrimidin-7(4 H)-one, structure-activity relationship, tuberculosis",2021
"Design and synthesis of new imidazo[1,2-a]pyridine and imidazo[1,2-a]pyrazine derivatives with antiproliferative activity against melanoma cells",European Journal of Medicinal Chemistry,28,Hungary,"A375P, Antiproliferative activity, Diarylamide, Diarylurea, Imidazo[1,2-a]pyrazine, Imidazo[1,2-a]pyridine, Melanoma",2016
"Discovery, structural insight, and bioactivities of BY27 as a selective inhibitor of the second bromodomains of BET proteins",European Journal of Medicinal Chemistry,40,China,"BD2, BET protein, Bromodomain, Crystal structure, Selective",2019
"Synthesis and evaluation of imidazo[1,2-a]pyrazine derivatives as small molecule Gαq/11 inhibitors against uveal melanoma",European Journal of Medicinal Chemistry,4,China,"Antitumor, G proteins, Gαq/11 inhibitors, imidazo[1,2-a]pyrazine, Uveal melanoma",2022
Rhodium(III)-Catalyzed Dehydrogenative Annulation and Spirocyclization of 2-Arylindoles and 2-(1 H-Pyrazol-1-yl)-1 H-indoles with Maleimides: A Facile Access to Isogranulatimide Alkaloid Analogues,Journal of Organic Chemistry,39,India,,2021
"Discovery and structure − activity relationship exploration of pyrazolo[1,5-a]pyrimidine derivatives as potent FLT3-ITD inhibitors",Bioorganic and Medicinal Chemistry,2,China,"5-a]pyrimidine, Acute myeloid leukemia, FLT3, FLT3-ITD, Pyrazolo[1, Structure–activity relationships",2021
"Transition Metal Catalyst-Free C-3 Sulfonylmethylation of Imidazo[1,2- a]pyridines with Glyoxylic Acid and Sodium Sulfinates in Water",Journal of Organic Chemistry,9,China,,2022
"Discovery of Imidazo[1,2-a]pyrazine Derivatives as Potent ENPP1 Inhibitors",Journal of Medicinal Chemistry,0,China,,2024
"Antimicrobial activity of imidazo[1,5-a]quinoxaline derivatives with pyridinium moiety",European Journal of Medicinal Chemistry,53,Russian Federation,"Bacteriostatic activity, Fungistatic activity, Imidazo[1,5-a]quinoxalines, Pyridinium salt",2013
Identification of triazolopyridine derivatives as a new class of AhR agonists and evaluation of anti-psoriasis effect in a mouse model,European Journal of Medicinal Chemistry,15,China,"Anti-psoriasis, Aryl hydrocarbon receptor, Oral administration, Structure-activity relationship",2022
"Diastereoselective [3 + 2] Cycloaddition of Quinoxalin-2(1 H)-ones with Donor-Acceptor Cyclopropanes: Efficient Synthesis of Tetrahydro pyrrolo[1,2- A[quinoxalin-4(5 H)-ones",Journal of Organic Chemistry,15,"India, Saudi Arabia",,2021
"Diverse synthesis of pyrimido[1,2-a]benzimidazoles and imidazo[2,1-b]benzothiazoles via CuI-catalyzed decarboxylic multicomponent reactions of heterocyclic azoles, aldehydes and alkynecarboxylic acids",Tetrahedron,30,China,"Alkynecarboxylic acids, Decarboxylic multicomponent reactions, Diverse synthesis, imidazo[2,1-b]benzothiazoles, pyrimido[1,2-a]benzimidazoles",2019
